"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","5236","should handle large dataset efficiently","chromium","Sun Dec 07 10:58:35 UTC 2025","failed","Sun Dec 07 10:58:41 UTC 2025","Performance Tests","performance.spec.ts","",""
"","30020","should format dates consistently","chromium","Sun Dec 07 11:02:40 UTC 2025","broken","Sun Dec 07 11:03:10 UTC 2025","UI/UX Tests","ui-ux.spec.ts","",""
"","217","should respond to user input quickly","chromium","Sun Dec 07 10:58:41 UTC 2025","passed","Sun Dec 07 10:58:42 UTC 2025","Performance Tests","performance.spec.ts","",""
"","30022","should scroll to top when editing user","chromium","Sun Dec 07 11:04:13 UTC 2025","broken","Sun Dec 07 11:04:43 UTC 2025","UI/UX Tests","ui-ux.spec.ts","",""
"","5166","should handle delete operations efficiently","chromium","Sun Dec 07 10:59:23 UTC 2025","failed","Sun Dec 07 10:59:28 UTC 2025","Performance Tests","performance.spec.ts","",""
"","233","should have labels associated with form inputs","chromium","Sun Dec 07 10:59:53 UTC 2025","passed","Sun Dec 07 10:59:54 UTC 2025","Accessibility Tests","accessibility.spec.ts","",""
"","30022","should maintain performance with concurrent operations","chromium","Sun Dec 07 11:00:49 UTC 2025","broken","Sun Dec 07 11:01:19 UTC 2025","Performance Tests","performance.spec.ts","",""
"","30019","should show hover effects on interactive elements","chromium","Sun Dec 07 10:59:41 UTC 2025","broken","Sun Dec 07 11:00:11 UTC 2025","UI/UX Tests","ui-ux.spec.ts","",""
"","234","should have accessible color contrast","chromium","Sun Dec 07 10:58:38 UTC 2025","failed","Sun Dec 07 10:58:38 UTC 2025","UI/UX Tests","ui-ux.spec.ts","",""
"","76","should open authentication modal when clicking authorize button","chromium","Sun Dec 07 10:58:19 UTC 2025","skipped","Sun Dec 07 10:58:19 UTC 2025","Authentication Tests","authentication.spec.ts","",""
"","30023","should have proper color contrast ratios","chromium","Sun Dec 07 11:04:03 UTC 2025","broken","Sun Dec 07 11:04:33 UTC 2025","Accessibility Tests","accessibility.spec.ts","",""
"","30022","should have proper table structure with headers","chromium","Sun Dec 07 11:00:55 UTC 2025","broken","Sun Dec 07 11:01:25 UTC 2025","Accessibility Tests","accessibility.spec.ts","",""
"","10256","should create a new user","chromium","Sun Dec 07 10:58:58 UTC 2025","failed","Sun Dec 07 10:59:08 UTC 2025","User Management","user-management.spec.ts","",""
"","243","should prevent special characters in name","chromium","Sun Dec 07 10:59:31 UTC 2025","passed","Sun Dec 07 10:59:31 UTC 2025","Form Validation Tests","form-validation.spec.ts","",""
"","30021","should have consistent button styles","chromium","Sun Dec 07 11:05:45 UTC 2025","broken","Sun Dec 07 11:06:15 UTC 2025","UI/UX Tests","ui-ux.spec.ts","",""
"","160","should have proper alt text or aria labels for images","chromium","Sun Dec 07 11:03:00 UTC 2025","passed","Sun Dec 07 11:03:00 UTC 2025","Accessibility Tests","accessibility.spec.ts","",""
"","200","should support screen reader navigation","chromium","Sun Dec 07 11:02:59 UTC 2025","passed","Sun Dec 07 11:02:59 UTC 2025","Accessibility Tests","accessibility.spec.ts","",""
"","71","should support API key authentication method","chromium","Sun Dec 07 10:58:19 UTC 2025","skipped","Sun Dec 07 10:58:19 UTC 2025","Authentication Tests","authentication.spec.ts","",""
"","190","should have focus visible styles","chromium","Sun Dec 07 11:02:59 UTC 2025","passed","Sun Dec 07 11:03:00 UTC 2025","Accessibility Tests","accessibility.spec.ts","",""
"","11243","should show loading indicators during operations","chromium","Sun Dec 07 11:01:09 UTC 2025","failed","Sun Dec 07 11:01:20 UTC 2025","UI/UX Tests","ui-ux.spec.ts","",""
"","74","should accept username and password in authentication form","chromium","Sun Dec 07 10:58:19 UTC 2025","skipped","Sun Dec 07 10:58:19 UTC 2025","Authentication Tests","authentication.spec.ts","",""
"","160","should have keyboard-accessible navigation","chromium","Sun Dec 07 10:59:54 UTC 2025","passed","Sun Dec 07 10:59:54 UTC 2025","Accessibility Tests","accessibility.spec.ts","",""
"","3194","should handle network timeout","chromium","Sun Dec 07 10:58:17 UTC 2025","passed","Sun Dec 07 10:58:20 UTC 2025","API Integration Tests","api-integration.spec.ts","",""
"","10270","should handle duplicate email error","chromium","Sun Dec 07 11:00:15 UTC 2025","failed","Sun Dec 07 11:00:25 UTC 2025","API Integration Tests","api-integration.spec.ts","",""
"","10269","should display success messages with proper styling","chromium","Sun Dec 07 11:00:34 UTC 2025","failed","Sun Dec 07 11:00:44 UTC 2025","UI/UX Tests","ui-ux.spec.ts","",""
"","30023","should have ARIA labels on interactive elements","chromium","Sun Dec 07 10:59:23 UTC 2025","broken","Sun Dec 07 10:59:53 UTC 2025","Accessibility Tests","accessibility.spec.ts","",""
"","424","should have proper heading hierarchy","chromium","Sun Dec 07 10:58:18 UTC 2025","passed","Sun Dec 07 10:58:18 UTC 2025","Accessibility Tests","accessibility.spec.ts","",""
